,gal_num,redshift,xcoord,xcoord_error,ycoord,ycoord_error,int_mag,int_mag_error,half_light_rad,half_light_rad_error,sersic_index,sersic_index_error,axis_ratio,axis_ratio_error,position_angle,position_angle_error,reduced_chi_squared,inclination_angle,is_good_fit,shows_internal_struct,overlaps_w_object,is_big_galaxy,edited,double_model,QSO,azimuthal_angle
7,7,0.3360468745231628,2727.08,0.01,2973.04,0.01,-23.99,0.01,2.18,0.03,1.07,0.02,0.97,0.01,66.82,11.9,0.147,,True,True,False,False,False,False,FBQSJ0751+2919,43.15511529267414
8,8,0.372,2906.42,0.05,1846.5,0.18,-25.59,0.02,25.92,0.41,0.72,0.01,0.21,0.0,16.96,0.18,0.154,,True,False,False,True,False,False,FBQSJ0751+2919,16.19753879076546
9,9,0.3850753903388977,1549.47,0.13,3424.77,0.09,-29.7,0.86,104.74,52.86,1.57,0.19,0.69,0.01,70.32,1.25,0.954,,True,False,False,True,True,False,FBQSJ0751+2919,12.875769703447576
10,10,0.4939,1091.13,0.08,2935.61,0.06,-25.49,0.02,17.27,0.36,0.89,0.02,0.29,0.0,-53.64,0.26,0.179,,True,True,False,True,False,False,FBQSJ0751+2919,31.015141248831238
11,11,0.5212332010269165,895.17,0.09,2644.28,0.09,-29.39,1.11,189.32,157.94,2.56,0.47,0.63,0.01,-44.79,1.61,0.87,,True,False,False,True,False,False,FBQSJ0751+2919,70.06054548018682
12,12,0.5297633409500122,1906.6,0.04,3732.89,0.01,-25.09,0.01,8.51,0.1,0.9,0.01,0.39,0.0,-76.55,0.27,0.15,,False,True,False,True,False,False,FBQSJ0751+2919,14.293493483379228
13,13,0.6156,829.04,0.01,3077.63,0.01,-26.7,0.01,10.14,0.08,1.21,0.01,0.47,0.0,48.1,0.17,0.363,,True,True,False,True,False,False,FBQSJ0751+2919,63.46192408542024
14,14,0.6693,399.42,0.03,2817.32,0.01,-28.72,0.14,93.81,11.33,2.7,0.09,0.51,0.0,-87.66,0.3,0.318,,True,False,False,True,False,False,FBQSJ0751+2919,6.100389557460833
15,15,0.6973,3582.54,0.03,1068.44,0.05,-29.87,0.41,166.76,50.48,2.41,0.17,0.62,0.01,8.18,0.57,0.362,,True,False,False,True,True,False,FBQSJ0751+2919,53.671589230645004
0,0,0.29619,1973.1,0.11,3205.27,0.05,-24.14,0.02,12.38,0.29,0.92,0.02,0.42,0.0,-81.78,0.64,0.098,65.16541251029841,True,False,False,True,False,False,PHL1377,61.357327978868376
1,1,0.8077,2070.26,0.11,2914.16,0.25,-24.47,0.02,24.38,0.59,0.75,0.02,0.2,0.0,-24.28,0.28,0.112,78.46304096718453,True,True,False,True,False,False,PHL1377,61.75156931576699
2,2,0.1735,1711.79,0.03,3181.99,0.03,-29.04,0.1,101.64,7.85,2.14,0.05,0.73,0.0,-31.48,0.52,0.278,43.11360594589871,True,True,False,True,False,False,PHL1377,24.199892517853026
3,3,0.9263,2670.08,0.35,3452.74,0.44,-24.62,0.07,11.35,1.0,0.68,0.09,0.42,0.02,38.22,2.9,6.013,65.16541251029841,True,True,False,True,False,False,PHL1377,30.256271055621973
4,4,0.4343,2780.29,0.02,3454.49,0.06,-24.91,0.01,12.61,0.19,1.0,0.01,0.45,0.0,-20.08,0.41,0.12,63.256316049597,True,True,False,True,False,False,PHL1377,76.74948377160845
5,5,0.4275,2941.67,0.09,3365.29,0.04,-25.78,0.03,26.35,0.67,1.26,0.03,0.47,0.0,-75.66,0.44,0.112,61.96570346511873,True,True,False,True,False,False,PHL1377,37.72534589294342
6,6,0.4098,1676.83,0.04,3891.68,0.09,-24.96,0.04,24.85,1.05,1.55,0.05,0.41,0.01,-11.66,0.55,0.086,65.79516519854168,True,False,False,True,False,False,PHL1377,37.94934202076329
7,7,0.364,2980.28,0.09,3894.46,0.06,-24.71,0.01,16.51,0.25,0.87,0.02,0.28,0.0,57.8,0.24,0.123,73.73979529168804,True,False,False,True,False,False,PHL1377,25.915692974792627
8,8,0.218,3227.96,0.13,2452.73,0.12,-28.7,0.05,66.21,2.63,1.28,0.03,0.28,0.0,-47.63,0.22,4.336,73.73979529168804,False,True,False,True,False,False,PHL1377,28.24962340528047
9,9,1.02429,2529.38,0.17,3128.23,0.2,-22.61,0.07,10.25,0.83,1.01,0.08,0.4,0.02,-39.64,1.94,0.089,66.42182152179817,True,False,False,True,False,False,PHL1377,67.49658460052481
10,10,0.61516,2137.01,0.08,3742.93,0.1,-21.12,0.06,2.65,0.22,0.79,0.08,0.75,0.04,24.06,8.85,0.079,41.40962210927086,True,False,False,False,False,False,PHL1377,30.885572337836454
